project,title,url,source
Malaba-Kampala SGR,"Uganda Secondary Education Expansion Project Report of the Auditor General, 2023",https://www.oag.go.ug/reports/2412,OAG Audit
Malaba-Kampala SGR,"DANIDA DFID project under Uganda Programme for Governance, Rights, Accountability and Democracy (UPGRADE) at the Inspectorate of Government Report of the Auditor General, 2023",https://www.oag.go.ug/reports/2424,OAG Audit
Malaba-Kampala SGR,"Water Supply and Sanitation in Refugee Hosting Communities in Northern Uganda funded by (KFW) project implemented by MoWE Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1620,OAG Audit
Malaba-Kampala SGR,"Upgrading of Rwenkunye Apac Lira Acholibur Road Project (UG Loan No 1030) implemented by Uganda National Roads Authority Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1709,OAG Audit
Malaba-Kampala SGR,"Readying Uganda for Actualization of National Infrastructure Corridors and Physical Development Plan Operationalization Project by Implemented by Ministry of Lands, Housing and Urban Development Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1727,OAG Audit
Malaba-Kampala SGR,"Muyembe-Nakapiripirit Road Project (IDB Loan No 1029) Implemented by Uganda National Roads Authority (UNRA) Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1736,OAG Audit
Malaba-Kampala SGR,"Uganda Support to Municipal Infrastructure Development Additional Financing (USMID-AFII) Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1023,OAG Audit
Malaba-Kampala SGR,"Kapchorwa Suam Kitale and Eldoret Bypass Roads Project (Uganda) Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1103,OAG Audit
Malaba-Kampala SGR,"Multinational: Uganda/ Rwanda; Busega-Mpigi and Kagitumba-Kayonza-Rusumo Roads Project (ID No: P-ZI-DB0-105; LOAN No.2100150035493) Implemented by UNRA Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1104,OAG Audit
Malaba-Kampala SGR,"Uganda National Redd - Plus Support Project implemented by Ministry of Water and Environment Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1131,OAG Audit
Malaba-Kampala SGR,"Northern Uganda Resilience Initiative Project implemented by Ministry of Water and Environment Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1133,OAG Audit
Malaba-Kampala SGR,"Support to Preparation of Irrigation Investments in Uganda implemented by Ministry of Water and Environment Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1134,OAG Audit
Malaba-Kampala SGR,"Water Supply and Sanitation in Refugee Hosting Communities in Northern Uganda funded by (KFW) project implemented by Ministry of Water and Environment Report of the Auditor General, 2021",https://www.oag.go.ug/reports/1137,OAG Audit
Malaba-Kampala SGR,"Water Supply and Sanitation on Refugee Hosting Communities in Northern Uganda funded by (KFW) Project Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1031,OAG Audit
Malaba-Kampala SGR,"Uganda Support to Municipal Infrastructure Development- Additional Funding II (USMID- AF-II) Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1033,OAG Audit
Malaba-Kampala SGR,"Uganda National REDD - Plus Support Project implemented by Ministry of Water and Environment Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1070,OAG Audit
Malaba-Kampala SGR,"Uganda Clean Cooking Supply Chain Expansion Project implemented by PSFU Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1071,OAG Audit
Malaba-Kampala SGR,"The Northern Uganda Resilience Initiative Project implemented by Ministry of Water and Environment Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1073,OAG Audit
Malaba-Kampala SGR,"Support to Irrigation Investments in Uganda Grant - TF0A9023 implemented by Ministry of Water and Environment Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1074,OAG Audit
Malaba-Kampala SGR,"Kapchorwa Suam Kitale and Eldoret Bypass Road Project implemented by Uganda National Roads Authority Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1096,OAG Audit
Malaba-Kampala SGR,"Energy for Rural Transformation Project - III under Private Sector Foundation Uganda (ERT III-PSFU) Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1116,OAG Audit
Malaba-Kampala SGR,"Uganda Sanitation Fund Project Report of the Auditor General, 2019",https://www.oag.go.ug/reports/895,OAG Audit
Malaba-Kampala SGR,"Kapchorwa Suam Kitale and Eldoret Bypass Roads Project implemented by Uganda National Roads Authority Report of the Auditor General, 2019",https://www.oag.go.ug/reports/1094,OAG Audit
Kampala-Entebbe Expressway,"Uganda shines at 15th EAC Games Wednesday, 17 December 2025 The 15th East African Community (EAC) Inter-Parliamentary Games held in Kampala, ended on ",Parliament,Parliament
Kampala-Entebbe Expressway,"MPs demand stronger road safety policies Tuesday, 28 October 2025 Members of Parliament have urged government to review and strengthen road safety pol",Parliament,Parliament
Kampala-Entebbe Expressway,"Planning authority advises on Kampala City infrastructure overhaul Wednesday, 3 September 2025 The physical plan of Kampala City can be improved, the ",Parliament,Parliament
Karuma Hydropower Dam,"LOP calls out Government on detention of Clergy Wednesday, 17 December 2025 The Leader of the Opposition, Hon. Joel Ssenyonyi, has criticised governme",Parliament,Parliament
Karuma Hydropower Dam,"'Improve welfare of ferry operators' Tuesday, 11 March 2025 The welfare of ferry operators took centre stage in Parliament as MPs raised concerns over",Parliament,Parliament
Karuma Hydropower Dam,"Isimba Dam defects: Spillway tests to be conducted in China Wednesday, 5 March 2025 The spillway defects at Isimba Dam will be subjected to a Physical",Parliament,Parliament
Isimba Hydropower Dam,"LOP calls out Government on detention of Clergy Wednesday, 17 December 2025 The Leader of the Opposition, Hon. Joel Ssenyonyi, has criticised governme",Parliament,Parliament
Isimba Hydropower Dam,"Isimba Dam defects: Spillway tests to be conducted in China Wednesday, 5 March 2025 The spillway defects at Isimba Dam will be subjected to a Physical",Parliament,Parliament
Malaba-Kampala SGR,"Govt presents NBFP focusing on full monetisation of economy Wednesday, 17 December 2025 Government has tabled the National Budget Framework Paper (NBF",Parliament,Parliament
Malaba-Kampala SGR,"Uganda shines at 15th EAC Games Wednesday, 17 December 2025 The 15th East African Community (EAC) Inter-Parliamentary Games held in Kampala, ended on ",Parliament,Parliament
Malaba-Kampala SGR,"Parliament Approves Shs 313.2Billion Pre-Financing for Kayunga–Galiraya Road Upgrade Wednesday, 17 December 2025 Parliament has approved a Shs313.2 bi",Parliament,Parliament
Entebbe Airport Expansion,"African Leaders meet in Uganda to Push Back Against Foreign Influence on Family Friday, 9 May 2025 Top political leaders, parliamentarians and faith-b",Parliament,Parliament
Entebbe Airport Expansion,"MPs push for continuous medical training to curb antibiotic misuse Tuesday, 25 March 2025 Legislators on the Parliamentary Forum on Antimicrobial Resi",Parliament,Parliament
